Display Name,ReferenceId,Latitude,Longitude,Media Owner,Country,State,District,Billboard Type,Category,Venue Type,Impression,Frequency,Reach_x,Venue type,18_24_percentage,25_34_percentage,35_44_percentage,45_54_percentage,55_64_percentage,65_plus_percentage,Unnamed: 8,PV,Freq,Reach_y,Unnamed: 12
BDTimoteoIII-12,BRA-OOH-D-00000-25859,-30.0176,-51.20035,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1482600,7.05,210297,"Outdoor,Urban Panels",15.23,16.12,31.69,19.45,10.34,7.17,,1482600,7.05,210297,
BDSantoAntonio-23,BRA-OOH-D-00000-25860,-30.02895,-51.21393,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1381200,6.84,201929,"Outdoor,Urban Panels",13.13,16.4,31.8,21.15,10.2,7.32,,1381200,6.84,201929,
PDSantosDumont-10,BRA-OOH-D-00000-25861,-3.74162,-38.48234,OOH BRASIL,Brazil,Ceara,Fortaleza,DIGITAL,OUTDOOR,"Outdoor,Billboards",1356600,6.43,210979,"Outdoor,Billboards",16.13,17.22,29.41,19.67,9.38,8.19,,1356600,6.43,210979,
PDGetulioVargas-4,BRA-OOH-D-00000-25863,-7.99822,-34.83942,OOH BRASIL,Brazil,Pernambuco,Olinda,DIGITAL,OUTDOOR,"Outdoor,Billboards",1219800,6.73,181248,"Outdoor,Billboards",14.42,16.24,30.27,21.46,10.32,7.29,,1219800,6.73,181248,
EDNScarmo(b)-78,BRA-OOH-D-00000-25864,-19.95058,-43.93756,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Billboards",1327800,6.09,218029,"Outdoor,Billboards",15.46,16.31,30.31,20.2,9.32,8.4,,1327800,6.09,218029,
BDPedroII-86,BRA-OOH-D-00000-28608,-19.90759,-43.96133,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1010400,5.97,169246,"Outdoor,Urban Panels",13.22,17.33,31.09,20.69,9.32,8.35,,1010400,5.97,169246,
PD Av. Recife,BRA-OOH-D-00000-28615,-8.0797,-34.9341,OOH BRASIL,Brazil,Pernambuco,Recife,DIGITAL,OUTDOOR,"Outdoor,Billboards",675600,5.08,132992,"Outdoor,Billboards",15.34,17.26,30.32,19.57,9.33,8.18,,675600,5.08,132992,
PDAmazonas(c)-82,BRA-OOH-D-00000-28606,-19.9297,-43.95761,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Billboards",537000,6.48,82870,"Outdoor,Billboards",13.25,16.17,32.45,20.76,9.15,8.22,,537000,6.48,82870,
EDRajaGab(c)-26,BRA-OOH-D-00000-28611,-19.97518,-43.94294,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Billboards",1115400,6.25,178464,"Outdoor,Billboards",14.5,17.17,28.43,21.26,10.38,8.26,,1115400,6.25,178464,
BDOlegarioMaciel-85,BRA-OOH-D-00000-28609,-19.91997,-43.94428,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",972000,5.41,179667,"Outdoor,Urban Panels",14.26,16.43,32.3,19.4,9.26,8.35,,972000,5.41,179667,
BDMarioWerneck-87,BRA-OOH-D-00000-28610,-19.9691,-43.96469,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",920400,5.92,155472,"Outdoor,Urban Panels",14.36,16.32,28.01,22.58,10.46,8.27,,920400,5.92,155472,
PD Mascarenhas de Morais,BRA-OOH-D-00000-28614,-8.10772,-34.91196,OOH BRASIL,Brazil,Pernambuco,Recife,DIGITAL,OUTDOOR,"Outdoor,Billboards",685800,5.11,134207,"Outdoor,Billboards",15.2,16.14,31.51,19.48,10.45,7.22,,685800,5.11,134207,
PD Barão de Souza Leão,BRA-OOH-D-00000-28616,-8.13177,-34.90233,OOH BRASIL,Brazil,Pernambuco,Recife,DIGITAL,OUTDOOR,"Outdoor,Billboards",657600,4.43,148442,"Outdoor,Billboards",14.26,16.38,29.85,20.7,10.45,8.36,,657600,4.43,148442,
BDContornoI-84,BRA-OOH-D-00000-28607,-19.93119,-43.92317,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1188000,5.73,207329,"Outdoor,Urban Panels",15.3,16.24,29.85,21.71,9.46,7.44,,1188000,5.73,207329,
BD Sinfrônio Brochado,BRA-OOH-D-00000-28612,-19.9761,-44.0184,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",834000,6.82,122287,"Outdoor,Urban Panels",13.16,16.23,30.26,22.75,9.27,8.33,,834000,6.82,122287,
BDJeronimoOrnelas-15,BRA-OOH-D-00000-28613,-30.0428567,-51.214314,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1397400,6.32,221107,"Outdoor,Urban Panels",15.34,16.43,30.54,20.23,10.13,7.33,,1397400,6.32,221107,
PD Joaquim Inácio,BRA-OOH-D-00000-28617,-8.06275,-34.89613,OOH BRASIL,Brazil,Pernambuco,Recife,DIGITAL,OUTDOOR,"Outdoor,Billboards",762000,5.24,145419,"Outdoor,Billboards",14.55,16.32,30.85,19.67,11.24,7.37,,762000,5.24,145419,
PD Eng. Domingos Ferreira,BRA-OOH-D-00000-28618,-8.10283,-34.88885,OOH BRASIL,Brazil,Pernambuco,Recife,DIGITAL,OUTDOOR,"Outdoor,Billboards",632400,5.11,123757,"Outdoor,Billboards",14.55,16.39,30.11,20.35,10.38,8.22,,632400,5.11,123757,
BDBernardoVasc-96,BRA-OOH-D-00000-32715,-19.88483,-43.94791,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",420600,5.38,78178,"Outdoor,Urban Panels",13.49,16.15,31.54,22.17,9.33,7.32,,420600,5.38,78178,
BDViladaSerra-99,BRA-OOH-D-00000-32716,-19.97763,-43.94189,OOH BRASIL,Brazil,Minas Gerais,Nova Lima,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",144600,4.95,29212,"Outdoor,Urban Panels",15.18,17.24,30.46,20.71,9.26,7.15,,144600,4.95,29212,
BDGoitacazes-101,BRA-OOH-D-00000-32717,-19.92167,-43.94419,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",505200,6.11,82684,"Outdoor,Urban Panels",14.33,16.4,30.71,20.74,9.41,8.41,,505200,6.11,82684,
PDCastroAlves-24,BRA-OOH-D-00000-32718,-30.03124,-51.20319,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",372600,5.28,70568,"Outdoor,Urban Panels",15.26,17.2,30.67,19.29,10.16,7.42,,372600,5.28,70568,
PD Amazonas Expominas,BRA-OOH-D-00000-36793,-19.93105,-43.99048,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Billboards",509400,5.73,88900,"Outdoor,Billboards",15.48,17.43,30.11,19.33,10.24,7.41,,509400,5.73,88900,
PD Barreiro I,BRA-OOH-D-00000-36794,-19.98713,-44.00914,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Billboards",621600,6.45,96372,"Outdoor,Billboards",14.27,16.33,30.23,20.74,10.25,8.18,,621600,6.45,96372,
PD Barreiro II,BRA-OOH-D-00000-36795,-19.98235,-44.0324216,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Billboards",594600,6.74,88219,"Outdoor,Billboards",15.57,17.27,28.25,21.54,9.17,8.2,,594600,6.74,88219,
